product_id,purchase_date,purchase_time,country_code,price_per_unit,units_sold,currency
346,2024-03-10,23:05:57,MX,186.38,95,MXN
350,2023-01-22,10:45:35,MX,835.29,3,MXN
357,2023-01-04,4:55:11,MX,61.01,5,MXN
340,2021-10-15,6:26:10,MX,25.68,82,MXN
335,2022-02-27,10:44:10,MX,103.14,64,MXN
349,2022-04-04,10:54:55,MX,268.14,11,MXN
348,2022-07-07,9:03:34,MX,155.03,20,MXN
346,2020-02-06,11:59:19,MX,310.09,25,MXN
337,2021-10-20,7:43:49,MX,820.7,67,MXN
338,2024-01-27,19:35:12,MX,681.1,61,MXN
329,2022-02-27,6:55:53,MX,200.63,8,MXN
338,2020-03-09,16:42:34,MX,259.47,33,MXN
353,2023-03-22,10:09:19,MX,997.08,85,MXN
333,2023-03-16,22:41:20,MX,518.02,6,MXN
355,2021-04-13,0:42:42,MX,169.54,29,MXN
357,2022-01-27,0:58:41,MX,142.64,22,MXN
352,2022-11-26,9:46:07,MX,442.34,78,MXN
353,2021-12-19,5:42:18,MX,966.45,76,MXN
329,2021-08-15,2:11:43,MX,141.88,45,MXN
331,2021-03-02,20:32:56,MX,901.55,27,MXN
346,2022-10-29,9:14:50,MX,260.47,42,MXN
335,2022-01-11,17:46:05,MX,738.22,38,MXN
348,2021-04-15,1:36:17,MX,671.54,34,MXN
343,2022-03-29,8:22:58,MX,710.9,54,MXN
329,2020-09-16,5:09:44,MX,530.41,56,MXN
327,2022-02-05,19:18:53,MX,625.42,42,MXN
343,2022-01-21,5:27:24,MX,431.16,72,MXN
331,2020-03-13,7:58:08,MX,574.16,69,MXN
353,2024-02-17,9:36:36,MX,154.13,16,MXN
355,2023-03-28,19:40:33,MX,995.39,8,MXN
355,2020-09-02,20:29:33,MX,477.48,69,MXN
354,2021-10-03,10:30:16,MX,8.63,24,MXN
336,2021-09-17,17:42:16,MX,772.15,94,MXN
346,2020-05-29,3:26:11,MX,152.83,39,MXN
345,2023-02-07,1:04:37,MX,26.48,66,MXN
337,2024-05-22,20:36:03,MX,91.85,37,MXN
328,2023-01-03,21:55:39,MX,751.9,20,MXN
351,2022-01-27,15:23:10,MX,628.44,47,MXN
335,2020-11-10,10:28:00,MX,642.2,68,MXN
350,2023-04-04,5:02:42,MX,793.76,27,MXN
343,2020-06-25,17:04:17,MX,31.49,96,MXN
326,2022-06-02,2:06:01,MX,990.59,29,MXN
347,2023-11-29,4:12:53,MX,278.25,82,MXN
335,2021-10-24,2:42:54,MX,557.47,80,MXN
354,2023-08-21,6:21:59,MX,951.58,4,MXN
342,2023-01-10,14:34:21,MX,685.36,97,MXN
355,2022-12-31,0:26:39,MX,377.77,11,MXN
340,2024-03-01,9:26:50,MX,651.11,8,MXN
331,2024-04-25,19:40:50,MX,819.54,39,MXN
327,2020-03-13,13:21:32,MX,598.18,7,MXN
331,2022-07-23,22:48:22,MX,13.7,99,MXN
323,2020-02-21,22:06:12,MX,668.77,23,MXN
346,2024-05-19,6:51:26,MX,384.91,21,MXN
345,2024-04-02,23:34:12,MX,782.75,10,MXN
352,2020-06-18,7:32:07,MX,494.43,90,MXN
337,2021-05-30,22:26:55,MX,509.78,63,MXN
341,2020-04-29,10:56:42,MX,696.92,16,MXN
356,2023-03-25,23:04:36,MX,514.16,7,MXN
326,2022-02-13,18:10:38,MX,750.84,34,MXN
350,2021-07-08,5:39:06,MX,474.28,42,MXN
330,2023-07-21,6:38:57,MX,841.15,80,MXN
345,2024-04-07,22:48:06,MX,664.57,50,MXN
329,2021-04-17,23:50:59,MX,359.53,95,MXN
328,2021-11-02,4:06:50,MX,425.35,30,MXN
326,2021-04-27,1:38:08,MX,430.42,39,MXN
330,2022-05-28,11:32:36,MX,209.13,95,MXN
335,2021-10-30,5:42:53,MX,220.35,7,MXN
350,2022-06-16,0:30:19,MX,780.17,83,MXN
333,2022-03-01,17:48:48,MX,270.5,34,MXN
354,2020-04-22,16:32:33,MX,387.52,57,MXN
350,2022-04-24,17:54:25,MX,325.56,66,MXN
356,2023-11-22,20:53:51,MX,652.83,6,MXN
350,2023-11-01,7:37:56,MX,66.18,9,MXN
327,2022-01-04,13:03:26,MX,831.72,57,MXN
349,2022-12-09,21:22:42,MX,362.42,3,MXN
329,2020-05-21,11:27:34,MX,85.3,36,MXN
331,2023-03-22,10:41:15,MX,153.22,19,MXN
328,2021-04-06,16:54:33,MX,674.37,99,MXN
351,2022-12-04,0:42:38,MX,971.01,48,MXN
336,2022-11-14,20:38:39,MX,150.6,91,MXN
325,2024-04-16,8:19:28,MX,622.06,24,MXN
332,2022-01-22,14:03:33,MX,450.79,88,MXN
348,2020-06-09,1:34:03,MX,600.3,93,MXN
335,2024-02-11,3:57:18,MX,477.01,15,MXN
352,2021-01-20,14:50:41,MX,311.65,85,MXN
335,2020-04-22,22:22:20,MX,970.25,34,MXN
327,2020-08-06,12:37:14,MX,462.53,61,MXN
345,2022-09-24,22:49:54,MX,367.98,4,MXN
323,2022-01-02,19:01:22,MX,205.82,87,MXN
323,2023-05-18,3:37:09,MX,887.38,81,MXN
352,2020-06-08,13:28:54,MX,341.99,86,MXN
328,2023-10-19,22:55:14,MX,194.44,17,MXN
355,2020-08-14,12:18:06,MX,530.37,54,MXN
356,2024-01-14,4:08:59,MX,993.51,6,MXN
335,2022-12-09,13:34:30,MX,62.01,80,MXN
338,2022-02-06,23:09:40,MX,544.39,1,MXN
323,2024-02-10,5:17:36,MX,739.81,42,MXN
356,2022-03-06,3:03:07,MX,976.39,94,MXN
354,2023-06-30,19:02:41,MX,523.4,36,MXN
349,2020-05-11,2:58:46,MX,354.95,87,MXN
341,2023-05-05,1:52:44,MX,882.07,45,MXN
348,2023-01-23,17:49:00,MX,863.51,47,MXN
327,2023-08-27,20:36:41,MX,987.47,95,MXN
323,2022-02-16,18:47:52,MX,796.44,30,MXN
339,2022-04-29,5:06:52,MX,106.53,63,MXN
336,2021-03-29,2:30:16,MX,496.67,58,MXN
346,2021-08-24,6:33:40,MX,420.11,35,MXN
352,2022-06-06,13:04:08,MX,126.38,46,MXN
329,2020-04-03,7:29:33,MX,486.58,72,MXN
357,2021-02-18,17:00:48,MX,752.04,44,MXN
348,2022-02-12,16:17:24,MX,858.83,41,MXN
337,2023-03-31,12:30:23,MX,756.81,70,MXN
339,2022-10-05,4:19:24,MX,782.96,53,MXN
330,2021-07-16,6:23:13,MX,756.81,10,MXN
350,2021-07-30,23:47:18,MX,548.67,92,MXN
346,2020-04-15,0:04:21,MX,957.18,18,MXN
342,2020-09-25,2:43:51,MX,323.68,23,MXN
